Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level1,Level1p,Level2,Level2p,Level3,Level3p,Level4,Level4p,Level3&4,Level3&4p
MANHATTAN,5,2007,Male,4832,668,419,8.70%,1078,22.30%,2394,49.50%,941,19.50%,3335,69.00%
MANHATTAN,5,2008,Female,4377,676,212,4.80%,771,17.60%,2293,52.40%,1101,25.20%,3394,77.50%
MANHATTAN,5,2008,Male,4537,675,300,6.60%,802,17.70%,2271,50.10%,1164,25.70%,3435,75.70%
MANHATTAN,5,2009,Female,4328,686,103,2.40%,460,10.60%,2220,51.30%,1545,35.70%,3765,87.00%
MANHATTAN,5,2009,Male,4396,685,132,3.00%,528,12.00%,2190,49.80%,1546,35.20%,3736,85.00%
MANHATTAN,5,2010,Female,4121,685,293,7.10%,1317,32.00%,1357,32.90%,1154,28.00%,2511,60.90%
MANHATTAN,5,2010,Male,4424,683,404,9.10%,1326,30.00%,1581,35.70%,1113,25.20%,2694,60.90%
MANHATTAN,5,2011,Female,4237,687,252,5.90%,1244,29.40%,1608,38.00%,1133,26.70%,2741,64.70%
MANHATTAN,5,2011,Male,4459,686,343,7.70%,1338,30.00%,1556,34.90%,1222,27.40%,2778,62.30%
MANHATTAN,6,2006,Female,4954,653,716,14.50%,1492,30.10%,2138,43.20%,608,12.30%,2746,55.40%
MANHATTAN,6,2006,Male,5143,651,910,17.70%,1539,29.90%,2041,39.70%,653,12.70%,2694,52.40%
MANHATTAN,6,2007,Female,4535,664,469,10.30%,1180,26.00%,2042,45.00%,844,18.60%,2886,63.60%
MANHATTAN,6,2007,Male,4681,659,674,14.40%,1170,25.00%,2072,44.30%,765,16.30%,2837,60.60%
MANHATTAN,6,2008,Female,4394,670,281,6.40%,892,20.30%,2240,51.00%,981,22.30%,3221,73.30%
MANHATTAN,6,2008,Male,4701,666,430,9.10%,1045,22.20%,2221,47.20%,1005,21.40%,3226,68.60%
MANHATTAN,6,2009,Female,4300,678,163,3.80%,748,17.40%,2205,51.30%,1184,27.50%,3389,78.80%
MANHATTAN,6,2009,Male,4499,675,253,5.60%,882,19.60%,2205,49.00%,1159,25.80%,3364,74.80%
MANHATTAN,6,2010,Female,4320,679,432,10.00%,1467,34.00%,1297,30.00%,1124,26.00%,2421,56.00%
MANHATTAN,6,2010,Male,4357,675,550,12.60%,1569,36.00%,1197,27.50%,1041,23.90%,2238,51.40%
MANHATTAN,6,2011,Female,4055,683,363,9.00%,1189,29.30%,1276,31.50%,1227,30.30%,2503,61.70%
MANHATTAN,6,2011,Male,4383,679,511,11.70%,1397,31.90%,1283,29.30%,1192,27.20%,2475,56.50%
MANHATTAN,7,2006,Female,5103,644,837,16.40%,1968,38.60%,1829,35.80%,469,9.20%,2298,45.00%
MANHATTAN,7,2006,Male,5257,640,1017,19.30%,2011,38.30%,1819,34.60%,410,7.80%,2229,42.40%
MANHATTAN,7,2007,Female,4936,658,397,8.00%,1677,34.00%,2080,42.10%,782,15.80%,2862,58.00%
MANHATTAN,7,2007,Male,5114,653,570,11.10%,1827,35.70%,2016,39.40%,701,13.70%,2717,53.10%
MANHATTAN,7,2008,Female,4594,669,171,3.70%,1058,23.00%,2374,51.70%,991,21.60%,3365,73.20%
MANHATTAN,7,2008,Male,4719,664,324,6.90%,1195,25.30%,2297,48.70%,903,19.10%,3200,67.80%
MANHATTAN,7,2009,Female,4410,677,74,1.70%,649,14.70%,2577,58.40%,1110,25.20%,3687,83.60%
MANHATTAN,7,2009,Male,4663,675,87,1.90%,838,18.00%,2598,55.70%,1140,24.40%,3738,80.20%
MANHATTAN,7,2010,Female,4365,675,460,10.50%,1415,32.40%,1277,29.30%,1213,27.80%,2490,57.00%
MANHATTAN,7,2010,Male,4535,672,528,11.60%,1633,36.00%,1295,28.60%,1079,23.80%,2374,52.30%
MANHATTAN,7,2011,Female,4328,678,393,9.10%,1336,30.90%,1285,29.70%,1314,30.40%,2599,60.10%
MANHATTAN,7,2011,Male,4326,677,480,11.10%,1367,31.60%,1209,27.90%,1270,29.40%,2479,57.30%
MANHATTAN,8,2006,Female,5312,644,1072,20.20%,1963,37.00%,1798,33.80%,479,9.00%,2277,42.90%
MANHATTAN,8,2006,Male,5182,640,1263,24.40%,1878,36.20%,1660,32.00%,381,7.40%,2041,39.40%
MANHATTAN,8,2007,Female,5026,649,853,17.00%,1817,36.20%,1883,37.50%,473,9.40%,2356,46.90%
MANHATTAN,8,2007,Male,5178,644,1082,20.90%,1865,36.00%,1840,35.50%,391,7.60%,2231,43.10%
