Borough,Grade,Year,Demographic,Number Tested,Mean Scale Score,Level1_2,Level3,Level4
BROOKLYN,5,2009,Female,10738,684,"1,405.0",5713,3620
BROOKLYN,5,2009,Male,10844,681,"1,764.0",5696,3384
BROOKLYN,5,2010,Female,10479,683,"4,216.0",3864,2399
BROOKLYN,5,2010,Male,10889,680,"4,676.0",3920,2293
BROOKLYN,5,2011,Female,10642,685,"3,864.0",4358,2420
BROOKLYN,5,2011,Male,10909,683,"4,298.0",4252,2359
BROOKLYN,5,2012,Female,10256,688,"3,394.0",3904,2958
BROOKLYN,5,2012,Male,10867,686,"3,913.0",3900,3054
BROOKLYN,6,2006,Female,11547,650,"5,482.0",4785,1280
BROOKLYN,6,2006,Male,11823,648,"5,829.0",4706,1288
BROOKLYN,6,2007,Female,10970,663,"3,929.0",5058,1983
BROOKLYN,6,2007,Male,11326,658,"4,587.0",4977,1762
BROOKLYN,6,2008,Female,10595,670,"2,760.0",5494,2341
BROOKLYN,6,2008,Male,11222,666,"3,481.0",5392,2349
BROOKLYN,6,2009,Female,10541,676,"2,190.0",5840,2511
BROOKLYN,6,2009,Male,10887,672,"2,814.0",5609,2464
BROOKLYN,6,2010,Female,10614,677,"4,830.0",3203,2581
BROOKLYN,6,2010,Male,10781,672,"5,417.0",3064,2300
BROOKLYN,6,2011,Female,10411,679,"4,434.0",3470,2507
BROOKLYN,6,2011,Male,10866,675,"5,187.0",3275,2404
BROOKLYN,6,2012,Female,10456,681,"4,102.0",3345,3009
BROOKLYN,6,2012,Male,10871,676,"4,864.0",3248,2759
BROOKLYN,7,2006,Female,11545,642,"6,321.0",4370,854
BROOKLYN,7,2006,Male,12063,639,"7,050.0",4107,906
BROOKLYN,7,2007,Female,11519,657,"4,914.0",4916,1689
BROOKLYN,7,2007,Male,12109,651,"5,880.0",4650,1579
BROOKLYN,7,2008,Female,11178,666,"3,273.0",5762,2143
BROOKLYN,7,2008,Male,11539,661,"4,037.0",5502,2000
BROOKLYN,7,2009,Female,10763,675,"1,947.0",6348,2468
BROOKLYN,7,2009,Male,11340,672,"2,367.0",6500,2473
BROOKLYN,7,2010,Female,10682,672,"4,912.0",3264,2506
BROOKLYN,7,2010,Male,11097,669,"5,566.0",3200,2331
BROOKLYN,7,2011,Female,10688,676,"4,578.0",3305,2805
BROOKLYN,7,2011,Male,10880,672,"5,144.0",3101,2635
BROOKLYN,7,2012,Female,10326,677,"4,221.0",3232,2873
BROOKLYN,7,2012,Male,10754,673,"4,785.0",3179,2790
BROOKLYN,8,2006,Female,11957,642,"6,974.0",4033,950
BROOKLYN,8,2006,Male,12126,637,"7,618.0",3686,822
BROOKLYN,8,2007,Female,11502,649,"6,039.0",4348,1115
BROOKLYN,8,2007,Male,12177,645,"6,918.0",4264,995
BROOKLYN,8,2008,Female,11142,662,"4,135.0",5354,1653
BROOKLYN,8,2008,Male,11656,656,"5,081.0",5108,1467
BROOKLYN,8,2009,Female,11268,669,"3,074.0",6399,1795
BROOKLYN,8,2009,Male,11562,664,"3,768.0",6279,1515
BROOKLYN,8,2010,Female,11161,675,"5,700.0",3402,2059
BROOKLYN,8,2010,Male,11688,670,"6,698.0",3266,1724
BROOKLYN,8,2011,Female,10845,675,"4,971.0",3944,1930
BROOKLYN,8,2011,Male,11293,671,"5,687.0",3760,1846
BROOKLYN,8,2012,Female,10716,679,"4,576.0",4039,2101
BROOKLYN,8,2012,Male,10932,674,"5,216.0",3884,1832
BROOKLYN,All Grades,2006,Female,69050,657,"29,045.0",29828,10177
BROOKLYN,All Grades,2006,Male,70730,654,"31,244.0",29187,10299
BROOKLYN,All Grades,2007,Female,67282,667,"22,590.0",31501,13191
BROOKLYN,All Grades,2007,Male,70257,663,"26,061.0",31394,12802
BROOKLYN,All Grades,2008,Female,65224,673,"15,650.0",35211,14363
BROOKLYN,All Grades,2008,Male,67944,670,"19,066.0",34765,14113
BROOKLYN,All Grades,2009,Female,64720,681,"10,862.0",36868,16990
BROOKLYN,All Grades,2009,Male,66771,677,"13,668.0",36905,16198
BROOKLYN,All Grades,2010,Female,64535,680,"29,026.0",21004,14505
BROOKLYN,All Grades,2010,Male,67029,677,"32,470.0",20787,13772
